Essence_billon;Module;ParameterEstimate;Produit;QualiteABCD;Effet
ERR;Pres;0;F2;D;classepetro_abcd
ERR;Pres;0;F3;A;classepetro_abcd
ERR;Pres;4.10477551574727;F3;B;classepetro_abcd
ERR;Pres;2.04358801281164;F3;C;classepetro_abcd
ERR;Pres;-0.61782309136584;F3;D;classepetro_abcd
ERR;Pres;0;F4;A;classepetro_abcd
ERR;Pres;0;F4;B;classepetro_abcd
ERR;Pres;0;F4;C;classepetro_abcd
ERR;Pres;0;F4;D;classepetro_abcd
ERR;Pres;0;P;A;classepetro_abcd
ERR;Pres;0.082224857719400593;P;B;classepetro_abcd
ERR;Pres;1.7466745910458;P;C;classepetro_abcd
ERR;Pres;1.35768758228029;P;D;classepetro_abcd
ERR;Pres;0;DER;NA;dhpcm_classepetro
ERR;Pres;0;F1;NA;dhpcm_classepetro
ERR;Pres;0;F2;NA;dhpcm_classepetro
ERR;Pres;-0.0277374463897849;F3;NA;dhpcm_classepetro
ERR;Pres;0;F4;NA;dhpcm_classepetro
ERR;Pres;0.045135889607776;P;NA;dhpcm_classepetro
ERR;Vol;0;DER;A;classepetro_abcd
ERR;Vol;0;DER;B;classepetro_abcd
ERR;Vol;0;DER;C;classepetro_abcd
ERR;Vol;0;DER;D;classepetro_abcd
ERR;Vol;0;F1;A;classepetro_abcd
ERR;Vol;0;F1;B;classepetro_abcd
ERR;Vol;0;F1;C;classepetro_abcd
ERR;Vol;0;F1;D;classepetro_abcd
ERR;Vol;0;F2;A;classepetro_abcd
ERR;Vol;0;F2;B;classepetro_abcd
ERR;Vol;0;F2;C;classepetro_abcd
ERR;Vol;0;F2;D;classepetro_abcd
ERR;Vol;0;F3;A;classepetro_abcd
ERR;Vol;-2.00159978167999;F3;B;classepetro_abcd
ERR;Vol;-2.62463663434881;F3;C;classepetro_abcd
ERR;Vol;-3.05604015908358;F3;D;classepetro_abcd
ERR;Vol;0;F4;A;classepetro_abcd
ERR;Vol;0;F4;B;classepetro_abcd
ERR;Vol;0;F4;C;classepetro_abcd
ERR;Vol;0;F4;D;classepetro_abcd
ERR;Vol;0;P;A;classepetro_abcd
ERR;Vol;-3.44854027718443;P;B;classepetro_abcd
ERR;Vol;-3.07189057908016;P;C;classepetro_abcd
ERR;Vol;-2.96198373938769;P;D;classepetro_abcd
ERR;Vol;0;DER;NA;dhpcm_classepetro
ERR;Vol;0;F1;NA;dhpcm_classepetro
ERR;Vol;0;F2;NA;dhpcm_classepetro
ERR;Vol;0.0327560867928381;F3;NA;dhpcm_classepetro
ERR;Vol;0;F4;NA;dhpcm_classepetro
ERR;Vol;0.0524727098011038;P;NA;dhpcm_classepetro
HEG;Pres;0;DER;A;classepetro_abcd
HEG;Pres;0;DER;B;classepetro_abcd
HEG;Pres;0;DER;C;classepetro_abcd
HEG;Pres;0;DER;D;classepetro_abcd
HEG;Pres;0;F1;A;classepetro_abcd
HEG;Pres;0;F1;B;classepetro_abcd
HEG;Pres;0;F1;C;classepetro_abcd
HEG;Pres;0;F1;D;classepetro_abcd
HEG;Pres;0;F2;A;classepetro_abcd
HEG;Pres;0;F2;B;classepetro_abcd
HEG;Pres;-5.07866429;F2;C;classepetro_abcd
HEG;Pres;-7.194227373;F2;D;classepetro_abcd
HEG;Pres;0;F3;A;classepetro_abcd
HEG;Pres;0;F3;B;classepetro_abcd
HEG;Pres;0.607120267;F3;C;classepetro_abcd
HEG;Pres;-1.062467806;F3;D;classepetro_abcd
HEG;Pres;0;F4;A;classepetro_abcd
HEG;Pres;0;F4;B;classepetro_abcd
HEG;Pres;1.576129342;F4;C;classepetro_abcd
HEG;Pres;0.379053578;F4;D;classepetro_abcd
HEG;Pres;0;P;A;classepetro_abcd
HEG;Pres;0;P;B;classepetro_abcd
HEG;Pres;3.064371762;P;C;classepetro_abcd
HEG;Pres;4.696188991;P;D;classepetro_abcd
HEG;Pres;0;DER;NA;dhpcm_classepetro
HEG;Pres;0;F1;NA;dhpcm_classepetro
HEG;Pres;0.089576582;F2;NA;dhpcm_classepetro
HEG;Pres;-0.019001285;F3;NA;dhpcm_classepetro
HEG;Pres;-0.095433209;F4;NA;dhpcm_classepetro
HEG;Pres;0.005638922;P;NA;dhpcm_classepetro
HEG;Vol;0;DER;A;classepetro_abcd
HEG;Vol;0;DER;B;classepetro_abcd
HEG;Vol;0;DER;C;classepetro_abcd
HEG;Vol;0;DER;D;classepetro_abcd
HEG;Vol;0;F1;A;classepetro_abcd
HEG;Vol;0;F1;B;classepetro_abcd
HEG;Vol;0;F1;C;classepetro_abcd
HEG;Vol;0;F1;D;classepetro_abcd
HEG;Vol;0;F2;A;classepetro_abcd
HEG;Vol;0;F2;B;classepetro_abcd
HEG;Vol;-3.33781959989193;F2;C;classepetro_abcd
HEG;Vol;-3.7147075414573;F2;D;classepetro_abcd
HEG;Vol;0;F3;A;classepetro_abcd
HEG;Vol;0;F3;B;classepetro_abcd
HEG;Vol;-3.19699169829714;F3;C;classepetro_abcd
HEG;Vol;-3.2853933895812;F3;D;classepetro_abcd
HEG;Vol;0;F4;A;classepetro_abcd
HEG;Vol;0;F4;B;classepetro_abcd
HEG;Vol;-3.58719954308139;F4;C;classepetro_abcd
HEG;Vol;-3.65251173655904;F4;D;classepetro_abcd
HEG;Vol;0;P;A;classepetro_abcd
HEG;Vol;0;P;B;classepetro_abcd
HEG;Vol;-2.75769743742574;P;C;classepetro_abcd
HEG;Vol;-2.58262093193242;P;D;classepetro_abcd
HEG;Vol;0;DER;NA;dhpcm_classepetro
HEG;Vol;0;F1;NA;dhpcm_classepetro
HEG;Vol;0.0585653938895978;F2;NA;dhpcm_classepetro
HEG;Vol;0.0548235520221294;F3;NA;dhpcm_classepetro
HEG;Vol;0.0404715441395535;F4;NA;dhpcm_classepetro
HEG;Vol;0.0510275570109939;P;NA;dhpcm_classepetro
CHX;Pres;0;DER;A;classepetro_abcd
CHX;Pres;0;DER;B;classepetro_abcd
CHX;Pres;0;DER;C;classepetro_abcd
CHX;Pres;0;DER;D;classepetro_abcd
CHX;Pres;0;F1;A;classepetro_abcd
CHX;Pres;-2.80671931368571;F1;B;classepetro_abcd
CHX;Pres;-4.08091517577003;F1;C;classepetro_abcd
CHX;Pres;0;F1;D;classepetro_abcd
CHX;Pres;0;F2;A;classepetro_abcd
CHX;Pres;-0.0155228975106005;F2;B;classepetro_abcd
CHX;Pres;-1.59870325477637;F2;C;classepetro_abcd
CHX;Pres;-1.16283057946923;F2;D;classepetro_abcd
CHX;Pres;0;F3;A;classepetro_abcd
CHX;Pres;4.83656301335437;F3;B;classepetro_abcd
CHX;Pres;5.04400384021644;F3;C;classepetro_abcd
CHX;Pres;5.77663853762605;F3;D;classepetro_abcd
CHX;Pres;0;F4;A;classepetro_abcd
CHX;Pres;2.9218275419419;F4;B;classepetro_abcd
CHX;Pres;1.85894273149591;F4;C;classepetro_abcd
CHX;Pres;1.6367418244274;F4;D;classepetro_abcd
CHX;Pres;0;P;A;classepetro_abcd
CHX;Pres;0.56742432188002;P;B;classepetro_abcd
CHX;Pres;1.14251761570261;P;C;classepetro_abcd
CHX;Pres;2.09398328348979;P;D;classepetro_abcd
CHX;Pres;0;DER;NA;dhpcm_classepetro
CHX;Pres;0.0569733693935959;F1;NA;dhpcm_classepetro
CHX;Pres;0.0193930340235849;F2;NA;dhpcm_classepetro
CHX;Pres;-0.100817802242726;F3;NA;dhpcm_classepetro
CHX;Pres;-0.0703575466890514;F4;NA;dhpcm_classepetro
CHX;Pres;0.0125436248143459;P;NA;dhpcm_classepetro
CHX;Vol;0;DER;A;classepetro_abcd
CHX;Vol;0;DER;B;classepetro_abcd
CHX;Vol;0;DER;C;classepetro_abcd
CHX;Vol;0;DER;D;classepetro_abcd
CHX;Vol;0;F1;A;classepetro_abcd
CHX;Vol;-2.55310617720609;F1;B;classepetro_abcd
CHX;Vol;-2.68355215256011;F1;C;classepetro_abcd
CHX;Vol;0;F1;D;classepetro_abcd
CHX;Vol;0;F2;A;classepetro_abcd
