Essence_billon;Module;ParameterEstimate;Produit;Vigueur1234;Effet
ERR;Vol;-2.983638425;F3;vigour;classepetro_vig
ERR;Vol;0;F4;nonvig;classepetro_vig
ERR;Vol;0;F4;vigour;classepetro_vig
ERR;Vol;-3.180876519;P;nonvig;classepetro_vig
ERR;Vol;-3.045184624;P;vigour;classepetro_vig
ERR;Vol;0;DER;pate;classepetro_prod
ERR;Vol;0;DER;sciage;classepetro_prod
ERR;Vol;0;F1;pate;classepetro_prod
ERR;Vol;0;F1;sciage;classepetro_prod
ERR;Vol;0;F2;pate;classepetro_prod
ERR;Vol;0;F2;sciage;classepetro_prod
ERR;Vol;0;F3;pate;classepetro_prod
ERR;Vol;0;F3;sciage;classepetro_prod
ERR;Vol;0;F4;pate;classepetro_prod
ERR;Vol;0;F4;sciage;classepetro_prod
ERR;Vol;0.406604993;P;pate;classepetro_prod
ERR;Vol;0;P;sciage;classepetro_prod
ERR;Vol;0;DER;NA;dhpcm_classepetro
ERR;Vol;0;F1;NA;dhpcm_classepetro
ERR;Vol;0;F2;NA;dhpcm_classepetro
ERR;Vol;0.05182327;F3;NA;dhpcm_classepetro
ERR;Vol;0;F4;NA;dhpcm_classepetro
ERR;Vol;0.051341398;P;NA;dhpcm_classepetro
HEG;Pres;0;DER;nonvig;classepetro_vig
HEG;Pres;0;DER;vigour;classepetro_vig
HEG;Pres;0;F1;nonvig;classepetro_vig
HEG;Pres;0;F1;vigour;classepetro_vig
HEG;Pres;-5.489011054;F2;nonvig;classepetro_vig
HEG;Pres;-5.087594959;F2;vigour;classepetro_vig
HEG;Pres;-0.050127834;F3;nonvig;classepetro_vig
HEG;Pres;0.975623545;F3;vigour;classepetro_vig
HEG;Pres;1.556149329;F4;nonvig;classepetro_vig
HEG;Pres;2.160841994;F4;vigour;classepetro_vig
HEG;Pres;2.342146858;P;nonvig;classepetro_vig
HEG;Pres;2.756815879;P;vigour;classepetro_vig
HEG;Pres;0;DER;pate;classepetro_prod
HEG;Pres;0;DER;sciage;classepetro_prod
HEG;Pres;0;F1;pate;classepetro_prod
HEG;Pres;0;F1;sciage;classepetro_prod
HEG;Pres;-1.231609732;F2;pate;classepetro_prod
HEG;Pres;0;F2;sciage;classepetro_prod
HEG;Pres;-1.477766266;F3;pate;classepetro_prod
HEG;Pres;0;F3;sciage;classepetro_prod
HEG;Pres;0;F4;pate;classepetro_prod
HEG;Pres;0;F4;sciage;classepetro_prod
HEG;Pres;1.600587161;P;pate;classepetro_prod
HEG;Pres;0;P;sciage;classepetro_prod
