Essence_billon;Module;ParameterEstimate;Produit;PrioriteMSCR;Effet
BOP;Vol;0;DER;NA;dhpcm_classepetro
BOP;Vol;0.0452758283122327;F1;NA;dhpcm_classepetro
BOP;Vol;0.0407776529179413;F2;NA;dhpcm_classepetro
BOP;Vol;0.0196217376626567;F3;NA;dhpcm_classepetro
BOP;Vol;0.0345060236340504;F4;NA;dhpcm_classepetro
BOP;Vol;0.0477630413966033;P;NA;dhpcm_classepetro
ERS;Pres;0;DER;C;classepetro_mscr
ERS;Pres;0;DER;M;classepetro_mscr
ERS;Pres;0;DER;R;classepetro_mscr
ERS;Pres;0;DER;S;classepetro_mscr
ERS;Pres;-21.1585636133475;F1;C;classepetro_mscr
ERS;Pres;-22.9794230823137;F1;M;classepetro_mscr
ERS;Pres;-20.6269774649652;F1;R;classepetro_mscr
ERS;Pres;-22.0283437181629;F1;S;classepetro_mscr
ERS;Pres;-13.8783121942473;F2;C;classepetro_mscr
ERS;Pres;-15.3989090779085;F2;M;classepetro_mscr
ERS;Pres;-13.4778195230116;F2;R;classepetro_mscr
ERS;Pres;-14.4219071901436;F2;S;classepetro_mscr
ERS;Pres;-0.842259592587529;F3;C;classepetro_mscr
ERS;Pres;-2.10306154361971;F3;M;classepetro_mscr
ERS;Pres;-0.514559523702008;F3;R;classepetro_mscr
ERS;Pres;-1.54357390185691;F3;S;classepetro_mscr
ERS;Pres;0.915268924593151;F4;C;classepetro_mscr
ERS;Pres;0.777556664348018;F4;M;classepetro_mscr
ERS;Pres;0.561200506063836;F4;R;classepetro_mscr
ERS;Pres;0.416521650556204;F4;S;classepetro_mscr
ERS;Pres;3.66423934321566;P;C;classepetro_mscr
ERS;Pres;4.42777357671798;P;M;classepetro_mscr
ERS;Pres;3.2213784261061;P;R;classepetro_mscr
ERS;Pres;3.77407477924528;P;S;classepetro_mscr
ERS;Pres;0;DER;NA;dhpcm_classepetro
ERS;Pres;0.726390021888568;F1;NA;dhpcm_classepetro
ERS;Pres;0.542539295893453;F2;NA;dhpcm_classepetro
ERS;Pres;0.0800339413345033;F3;NA;dhpcm_classepetro
ERS;Pres;-0.117876437435568;F4;NA;dhpcm_classepetro
ERS;Pres;-0.0422633297044013;P;NA;dhpcm_classepetro
ERS;Pres;0;DER;NA;dhpcm2_classepetro
ERS;Pres;-0.0063485208316629;F1;NA;dhpcm2_classepetro
ERS;Pres;-0.00491545493476165;F2;NA;dhpcm2_classepetro
ERS;Pres;-7.0137437053237e-4;F3;NA;dhpcm2_classepetro
ERS;Pres;0.00108397212549155;F4;NA;dhpcm2_classepetro
ERS;Pres;1.1398516493656e-4;P;NA;dhpcm2_classepetro
ERS;Vol;0;DER;C;classepetro_mscr
ERS;Vol;0;DER;M;classepetro_mscr
ERS;Vol;0;DER;R;classepetro_mscr
ERS;Vol;0;DER;S;classepetro_mscr
ERS;Vol;-2.71026139940777;F1;C;classepetro_mscr
ERS;Vol;-2.79211232204718;F1;M;classepetro_mscr
ERS;Vol;-2.7007334066053;F1;R;classepetro_mscr
ERS;Vol;-2.70521586836559;F1;S;classepetro_mscr
ERS;Vol;-2.37920917607136;F2;C;classepetro_mscr
ERS;Vol;-2.58101252435044;F2;M;classepetro_mscr
ERS;Vol;-2.28444284348453;F2;R;classepetro_mscr
ERS;Vol;-2.42031650901555;F2;S;classepetro_mscr
ERS;Vol;-2.7325726898372;F3;C;classepetro_mscr
ERS;Vol;-2.98091003879145;F3;M;classepetro_mscr
ERS;Vol;-2.76309311901779;F3;R;classepetro_mscr
ERS;Vol;-2.84848690376536;F3;S;classepetro_mscr
ERS;Vol;-3.33706646140891;F4;C;classepetro_mscr
ERS;Vol;-3.44636539328307;F4;M;classepetro_mscr
ERS;Vol;-3.22901976369746;F4;R;classepetro_mscr
ERS;Vol;-3.26293549997958;F4;S;classepetro_mscr
ERS;Vol;-2.45796720733521;P;C;classepetro_mscr
ERS;Vol;-2.18217781765303;P;M;classepetro_mscr
ERS;Vol;-2.56875977062123;P;R;classepetro_mscr
ERS;Vol;-2.2272095671774;P;S;classepetro_mscr
ERS;Vol;0;DER;NA;dhpcm_classepetro
ERS;Vol;0.0435109705672032;F1;NA;dhpcm_classepetro
ERS;Vol;0.0339025266229123;F2;NA;dhpcm_classepetro
ERS;Vol;0.0394689774302;F3;NA;dhpcm_classepetro
ERS;Vol;0.026391862995552;F4;NA;dhpcm_classepetro
ERS;Vol;0.0300071456055823;P;NA;dhpcm_classepetro
ERR;Pres;0;DER;C;classepetro_mscr
ERR;Pres;0;DER;M;classepetro_mscr
ERR;Pres;0;DER;R;classepetro_mscr
ERR;Pres;0;DER;S;classepetro_mscr
ERR;Pres;0;F1;C;classepetro_mscr
ERR;Pres;0;F1;M;classepetro_mscr
ERR;Pres;0;F1;R;classepetro_mscr
ERR;Pres;0;F1;S;classepetro_mscr
ERR;Pres;0;F2;C;classepetro_mscr
ERR;Pres;0;F2;M;classepetro_mscr
ERR;Pres;0;F2;R;classepetro_mscr
ERR;Pres;0;F2;S;classepetro_mscr
ERR;Pres;3.61102212530996;F3;C;classepetro_mscr
ERR;Pres;-0.769133073500443;F3;M;classepetro_mscr
ERR;Pres;0;F3;R;classepetro_mscr
ERR;Pres;0.158224007328473;F3;S;classepetro_mscr
ERR;Pres;0;F4;C;classepetro_mscr
ERR;Pres;0;F4;M;classepetro_mscr
ERR;Pres;0;F4;R;classepetro_mscr
ERR;Pres;0;F4;S;classepetro_mscr
ERR;Pres;2.45673767915818;P;C;classepetro_mscr
ERR;Pres;2.94441669582506;P;M;classepetro_mscr
ERR;Pres;0;P;R;classepetro_mscr
ERR;Pres;3.19186449685061;P;S;classepetro_mscr
ERR;Vol;0;DER;C;classepetro_mscr
ERR;Vol;0;DER;M;classepetro_mscr
ERR;Vol;0;DER;R;classepetro_mscr
ERR;Vol;0;DER;S;classepetro_mscr
ERR;Vol;0;F1;C;classepetro_mscr
ERR;Vol;0;F1;M;classepetro_mscr
ERR;Vol;0;F1;R;classepetro_mscr
ERR;Vol;0;F1;S;classepetro_mscr
ERR;Vol;0;F2;C;classepetro_mscr
ERR;Vol;0;F2;M;classepetro_mscr
ERR;Vol;0;F2;R;classepetro_mscr
ERR;Vol;0;F2;S;classepetro_mscr
ERR;Vol;-3.10108597427767;F3;C;classepetro_mscr
ERR;Vol;-3.57873836769007;F3;M;classepetro_mscr
ERR;Vol;0;F3;R;classepetro_mscr
ERR;Vol;-3.31025313737344;F3;S;classepetro_mscr
ERR;Vol;0;F4;C;classepetro_mscr
ERR;Vol;0;F4;M;classepetro_mscr
ERR;Vol;0;F4;R;classepetro_mscr
